2013/08/31 17:43:12 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: Loading user properties from: C:\Program Files\Apache Software Foundation\apache-jmeter-2.9\bin\user.properties 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: Loading system properties from: C:\Program Files\Apache Software Foundation\apache-jmeter-2.9\bin\system.properties 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: Copyright (c) 1998-2013 The Apache Software Foundation 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: Version 2.9 r1437961 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: java.version=1.7.0_13 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: os.name=Windows XP 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: os.arch=amd64 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: os.version=5.2 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: JMeterHome=C:\Program Files\Apache Software Foundation\apache-jmeter-2.9 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: user.dir  =C:\Program Files\Apache Software Foundation\apache-jmeter-2.9\bin 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: PWD       =C:\Program Files\Apache Software Foundation\apache-jmeter-2.9\bin 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: IP: 10.0.2.15 Name: student-8v2bmf7 FullName: student-8v2bmf7 
2013/08/31 17:43:13 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2013/08/31 17:43:16 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2013/08/31 17:43:16 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2013/08/31 17:43:17 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2013/08/31 17:43:19 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2013/08/31 17:43:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2013/08/31 17:43:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2013/08/31 17:43:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2013/08/31 17:43:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2013/08/31 17:43:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2013/08/31 17:43:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2013/08/31 17:43:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Reuse SSL session context on subsequent iterations: true 
2013/08/31 17:43:19 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2013/08/31 17:43:20 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2013/08/31 17:43:20 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2013/08/31 17:43:20 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2013/08/31 17:43:20 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
